1,Union South Garage,1308 W. Dayton Street,1,1,1,Garage,Both (Permit or Pay),$2.00 Per Hour,7:00 AM,11:59 PM,"Rate applies from 7:00 AM to 4:29 PM, Evening rate of $1 per hour in effect 4:30PM to 11:59PM, $15 daytime session maximum",43.07185,-89.40789
2,Bakke REcreation and Wellness Center,632 Willow Drive,1,1,1,Surface Lot,Yes,$0.00,0:00,23:59,"Lot specific permit required Monday-Friday 7:00 AM to 4:30 PM, Free parking outside these times",43.08074,-89.42873
6,Lot 6: HC White Garage,600 N. Park St,1,1,1,Garage,Both (Permit or Pay),$0.80 Per Hour,4:00 AM,11:59 PM,N/A,43.07666,-89.40136
7,Lot 7: Grainger Hall garage,325 N. Brooks St,1,1,1,Garage,Both (Permit or Pay),$2.00 Per Hour,0:00 to 23:59,,"Max stay 3 days, 24 hours costs $15, Free parking sundays",43.07278,-89.40233
9,Limnology/Water Science Lab,640 N. Park Street,1,1,1,Surface Lot,Both (Permit or Pay),$0.80 Per Hour,7:00 AM,4:30 PM,"Between 7 a.m. and 4:30 p.m., Monday-Friday, a lot-specific permit is required. After 4:30 p.m. and all day Saturday and Sunday, any valid UW permit is acceptable.",43.07659,-89.40066
10,Lot 10,1001 Observatory Drive ,0,1,1,Surface Lot,Yes,N/A,7:00 AM,4:59 PM,"Between 7 a.m. and 4:30 p.m., Monday-Friday, a lot-specific permit is required. After 4:30 p.m. and all day Saturday and Sunday, any valid UW permit is acceptable.",43.0766481,-89.4021006
17,Engineering Drive Ramp,1525 Engineering Drive,1,1,1,Garage,Both (Permit or Pay),$2.00 Per Hour,7:00 AM,11:59 PM,"Rate applies from 7:00 AM to 4:29 PM, Evening rate of $1 per hour in effect 4:30PM to 11:59PM, Free parking on Weekends",43.0723515,-89.410971
18,University Bay Drive Ramp,2501 University Bay Drive,1,1,1,Garage,Both (Permit or Pay),$2.00 Per Hour,7:00 AM,11:59 PM,"Rate applies from 7:00 AM to 4:29 PM, Evening rate of $1 per hour in effect 4:30PM to 11:59PM, Free parking on Weekends",43.0813728,-89.428328
19,West of Field House,15 Breese Terrace,1,1,1,Surface Lot,Both (Permit or Pay),,7:00 AM,16:30,"Between 7 a.m. and 4:30 p.m., Monday – Friday, a lot-specific permit is required. Free after 4:30 p.m. and all day Saturday and Sunday.",43.068403,-89.4137883
20,University Avenue Ramp,1390 University Avenue,1,1,1,Garage,Both (Permit or Pay),$2.00 Per Hour,7:00 AM,7:00 AM,"Rate applies from 7:00 AM to 4:29 PM, Evening rate of $1 per hour in effect 4:30PM to 11:59PM, Free parking on Weekends",43.0734523,-89.4087127
